TITLE: Bill of Materials
DATE: 04/16/2021
DESIGN: pc053e_toplevel
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,CASE,JEDEC_TYPE
"CAPCERSMDCL2_0402-100NF,16V_GEN",C26,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C25,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C24,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C23,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C22,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C21,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C20,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C19,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C14,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C13,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C11,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
