STUFF LIST - 1  
24AA025E48T-I/SN 24AA025E48T-I/SN         IC2             

----------------

74LCX04MTC-VCC=P3V3 74LCX04MTC               IC9             

----------------

ADCMP604BKSZ     ADCMP604BKSZ             IC5             
ADCMP604BKSZ     ADCMP604BKSZ             IC6             
ADCMP604BKSZ     ADCMP604BKSZ             IC7             

----------------

ADN2814ACPZ-VCC=P3V3,VEE=GND ADN2814ACPZ              IC12            

----------------

PCA9517DGKR      PCA9517DGKR              IC15            

----------------

PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         PX1             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         PX2             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         PX3             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         PX4             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         PX5             
PCOAX-U.FL-R-SMT-1(10) U.FL-R-SMT-1(10)         PX6             

----------------

RSMD0402_0.0625W-XX,1% R0402_XX_1%_0.063W       R60             

----------------

RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R58             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R59             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R64             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R65             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R66             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R67             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R68             
RSMD0402_1/16W-0R0,1% R0402_0R_1%_0.063W_100PPM R69             

----------------

RSMD0402_1/16W-10,1% R0402_10R_1%_0.063W_200PPM R61             

----------------

RSMD0402_1/16W-100,1% R0402_100R_1%_0.063W_200PPM R7              
RSMD0402_1/16W-100,1% R0402_100R_1%_0.063W_200PPM R8              
